fortnight,S&P500_mean,Interest Rate_mean,GDP_mean,Unemployment Rate_mean,CPI_mean,Inflation Expectations_mean,Yield Spread_mean,VIX_mean,Industrial Production_mean,Consumer Confidence_mean,Hourly Earnings_mean,NFCI_mean,Savings Rate_mean,PCE_mean,Money Supply_mean,PPI_mean,S&P500_std,Interest Rate_std,GDP_std,Unemployment Rate_std,CPI_std,Inflation Expectations_std,Yield Spread_std,VIX_std,Industrial Production_std,Consumer Confidence_std,Hourly Earnings_std,NFCI_std,Savings Rate_std,PCE_std,Money Supply_std,PPI_std,diff_Target,S&P500_Open_Price,S&P500_Close_Price,S&P500_mean_lag1,S&P500_mean_lag2,S&P500_mean_lag3,Interest Rate_mean_lag2,Interest Rate_mean_lag4,VIX_mean_lag1,VIX_mean_lag2,VIX_mean_lag3,GDP_mean_lag2,GDP_mean_lag4,Unemployment Rate_mean_lag2,Unemployment Rate_mean_lag4
4.0,1120.6100000000001,0.14100000000000001,14764.61,9.870000000000001,217.329,1.8539999999999999,2.806,18.887,89.94800000000001,73.6,22.457,-0.297,5.3,10137.22,8524.87,182.61,14.481513119222722,0.017919573407620827,0.0,0.048304589153964246,0.03381321240775659,0.027968235951204005,0.024129281427805307,0.9574625028921198,0.30914937058537895,0.0,0.004830458915396655,0.03368151487751772,0.0,30.238672810382578,1.8838789770049686,1.1110055505412144,35.210000000000036,1105.24,1140.45,1092.78,1080.225,1123.958888888889,0.13,0.10555555555555556,22.002222222222223,24.186,21.02111111111111,14764.61,14739.418888888891,9.8,9.822222222222223
5.0,1158.773,0.175,14764.61,9.9,217.35,1.8940000000000001,2.7199999999999998,17.362000000000002,90.14,73.6,22.46,-0.387,5.3,10156.0,8523.7,183.3,9.338892451582518,0.019002923751652297,0.0,0.0,0.0,0.05168279318217143,0.04666666666666671,0.7213690687389708,0.0,0.0,0.0,0.03368151487751769,0.0,0.0,0.0,0.0,28.560000000000173,1145.61,1174.17,1120.6100000000001,1092.78,1080.225,0.12222222222222223,0.11888888888888889,18.887,22.002222222222223,24.186,14764.609999999999,14764.609999999999,9.8,9.8
6.0,1174.548888888889,0.16555555555555557,14836.470000000001,9.9,217.36666666666667,1.8811111111111112,2.82,17.416666666666668,90.24666666666667,73.13333333333333,22.47,-0.4677777777777778,5.533333333333333,10164.766666666666,8534.166666666666,183.66666666666666,8.788424836744744,0.03205897343611891,107.78999999999965,0.0,0.025000000000000314,0.06273843408239557,0.024999999999999915,0.5937381577766404,0.1599999999999966,0.6999999999999964,0.014999999999998289,0.024888640871780155,0.3500000000000002,13.149999999999462,15.699999999999617,0.5500000000000056,21.720000000000027,1167.72,1189.44,1158.773,1120.6100000000001,1092.78,0.14100000000000001,0.13,17.362000000000002,18.887,22.002222222222223,14764.61,14764.61,9.870000000000001,9.8
7.0,1197.618,0.199,14980.189999999999,9.9,217.4,1.952,2.807,16.393,90.46,72.2,22.49,-0.505,6.0,10182.3,8555.1,184.4,9.750337657970853,0.009944289260117532,0.0,0.0,0.0,0.0382390143992,0.02110818693198339,0.877155123744432,0.0,0.0,0.0,0.005270462766947337,0.0,0.0,0.0,0.0,24.720000000000027,1182.45,1207.17,1174.548888888889,1158.773,1120.6100000000001,0.175,0.12222222222222223,17.416666666666668,17.362000000000002,18.887,14764.61,14764.609999999999,9.9,9.8
8.0,1198.834,0.2,14980.189999999999,9.84,217.37800000000001,1.9899999999999998,2.726,19.529,90.708,72.47999999999999,22.497999999999998,-0.45499999999999996,6.08,10188.0,8565.939999999999,184.48000000000002,14.16515144838057,0.004714045207910316,0.0,0.12649110640673547,0.04638007234914406,0.035590260840104304,0.030623157540949016,2.830203958099918,0.5228299064811741,0.5902918298980944,0.01686548085423257,0.03979112128771107,0.16865480854231377,12.016655108640114,22.852726557483034,0.16865480854231313,-32.340000000000146,1205.94,1173.6,1197.618,1174.548888888889,1158.773,0.16555555555555557,0.14100000000000001,16.393,17.416666666666668,17.362000000000002,14836.470000000001,14764.61,9.9,9.870000000000001
9.0,1144.295,0.203,14980.189999999999,9.6,217.29000000000002,1.8359999999999999,2.6670000000000003,30.365,91.7,73.6,22.53,-0.30900000000000005,6.4,10210.8,8609.3,184.8,20.590151502329636,0.004830458915396468,0.0,0.0,0.0,0.056015870766933304,0.03164033993355817,4.742536241295369,0.0,0.0,0.0,0.06314885412877874,0.0,0.0,0.0,0.0,-45.069999999999936,1165.87,1120.8,1198.834,1197.618,1174.548888888889,0.199,0.175,19.529,16.393,17.416666666666668,14980.189999999999,14764.61,9.9,9.9
10.0,1083.6822222222222,0.20111111111111113,14980.189999999999,9.577777777777778,217.28,1.6433333333333335,2.4711111111111115,36.27222222222222,91.72222222222223,73.86666666666666,22.53,-0.15444444444444444,6.377777777777778,10213.077777777777,8611.422222222222,184.65555555555557,16.447338521610234,0.0060092521257733116,0.0,0.06666666666666643,0.030000000000002913,0.05499999999999999,0.0650854139658888,4.694722509844906,0.06666666666666703,0.8000000000000022,0.0,0.04977728174356026,0.06666666666666675,6.833333333333409,6.366666666666788,0.4333333333333371,-44.33999999999992,1115.05,1070.71,1144.295,1198.834,1197.618,0.2,0.16555555555555557,30.365,19.529,16.393,14980.189999999999,14836.470000000001,9.84,9.9
11.0,1081.7549999999999,0.187,14980.189999999999,9.4,217.2,1.673,2.498,31.292,91.9,76.0,22.53,-0.06599999999999999,6.2,10231.3,8628.4,183.5,22.00777602474984,0.0067494855771055365,0.0,0.0,0.0,0.04423422506008977,0.04589843860815587,3.4203372153439298,0.0,0.0,0.0,0.012649110640673514,0.0,0.0,0.0,0.0,16.84999999999991,1098.38,1115.23,1083.6822222222222,1144.295,1198.834,0.203,0.199,36.27222222222222,30.365,19.529,14980.189999999999,14980.189999999999,9.6,9.9
12.0,1091.4969999999998,0.172,14980.189999999999,9.4,217.2,1.639,2.47,27.516000000000002,91.9,76.0,22.53,-0.08499999999999999,6.2,10231.3,8628.4,183.5,25.0458637303646,0.013165611772087658,0.0,0.0,0.0,0.056656861896861095,0.047140452079103355,2.996279915717711,0.0,0.0,0.0,0.019002923751652297,0.0,0.0,0.0,0.0,-73.36999999999989,1114.61,1041.24,1081.7549999999999,1083.6822222222222,1144.295,0.20111111111111113,0.2,31.292,36.27222222222222,30.365,14980.189999999999,14980.189999999999,9.577777777777778,9.84
13.0,1054.5877777777778,0.16555555555555557,15123.674444444445,9.4,217.55555555555554,1.4666666666666666,2.391111111111111,28.18777777777778,92.21111111111111,68.71111111111111,22.583333333333332,-0.15444444444444444,6.111111111111111,10264.011111111111,8638.533333333333,184.03333333333333,27.63056902136545,0.028771127502720113,53.8066666666662,0.0,0.13333333333334774,0.04582575694955846,0.051827706018220836,3.767946316555538,0.11666666666666248,2.733333333333334,0.019999999999999463,0.03126943839882287,0.033333333333333916,12.266666666666456,3.8000000000006673,0.1999999999999957,64.62999999999988,1030.71,1095.34,1091.4969999999998,1081.7549999999999,1083.6822222222222,0.187,0.203,27.516000000000002,31.292,36.27222222222222,14980.189999999999,14980.189999999999,9.4,9.6
