Date,S&P500,Interest Rate,GDP,Unemployment Rate,CPI,Inflation Expectations,Yield Spread,VIX,Industrial Production,Consumer Confidence,Hourly Earnings,NFCI,Savings Rate,PCE,Money Supply,PPI,fortnight
2009-12-30,1126.42,0.11,14651.25,9.9,217.35,2.11,2.72,19.96,88.24,72.5,22.36,-0.186,5.4,10052.6,8512.5,178.1,0
2010-01-13,1145.68,0.11,14764.61,9.8,217.49,2.13,2.83,17.85,89.19,74.4,22.41,-0.233,5.6,10056.1,8478.0,181.9,1
2010-01-27,1097.5,0.12,14764.61,9.8,217.49,1.96,2.76,23.14,89.19,74.4,22.41,-0.233,5.6,10056.1,8478.0,181.9,2
2010-02-10,1068.13,0.12,14764.61,9.8,217.28,1.97,2.81,25.4,89.5,73.6,22.45,-0.219,5.3,10093.4,8527.6,181.0,3
2010-02-24,1105.24,0.11,14764.61,9.8,217.28,1.9,2.83,20.27,89.5,73.6,22.45,-0.251,5.3,10093.4,8527.6,181.0,4
2010-03-10,1145.61,0.14,14764.61,9.9,217.35,1.91,2.81,18.57,90.14,73.6,22.46,-0.336,5.3,10156.0,8523.7,183.3,5
2010-03-24,1167.72,0.17,14764.61,9.9,217.35,1.89,2.76,17.55,90.14,73.6,22.46,-0.428,5.3,10156.0,8523.7,183.3,6
2010-04-07,1182.45,0.19,14980.19,9.9,217.4,2.04,2.83,16.62,90.46,72.2,22.49,-0.495,6.0,10182.3,8555.1,184.4,7
2010-04-21,1205.94,0.2,14980.19,9.9,217.4,1.95,2.74,16.32,90.46,72.2,22.49,-0.502,6.0,10182.3,8555.1,184.4,8
2010-05-05,1165.87,0.21,14980.19,9.6,217.29,1.89,2.7,24.91,91.7,73.6,22.53,-0.403,6.4,10210.8,8609.3,184.8,9
2010-05-19,1115.05,0.2,14980.19,9.6,217.29,1.7,2.56,35.32,91.7,73.6,22.53,-0.227,6.4,10210.8,8609.3,184.8,10
2010-06-02,1098.38,0.2,14980.19,9.4,217.2,1.71,2.53,30.17,91.9,76.0,22.53,-0.09,6.2,10231.3,8628.4,183.5,11
2010-06-16,1114.61,0.19,14980.19,9.4,217.2,1.67,2.52,25.92,91.9,76.0,22.53,-0.061,6.2,10231.3,8628.4,183.5,12
2010-06-30,1030.71,0.09,14980.19,9.4,217.2,1.54,2.36,34.54,91.9,76.0,22.53,-0.11,6.2,10231.3,8628.4,183.5,13
2010-07-14,1095.17,0.17,15141.61,9.4,217.6,1.48,2.45,24.89,92.25,67.8,22.59,-0.19,6.1,10268.1,8639.8,184.1,14
2010-07-28,1106.13,0.2,15141.61,9.4,217.6,1.46,2.42,24.25,92.25,67.8,22.59,-0.275,6.1,10268.1,8639.8,184.1,15
2010-08-11,1089.47,0.17,15141.61,9.5,217.92,1.43,2.18,25.39,92.59,68.9,22.62,-0.32,6.2,10307.1,8688.2,184.9,16
2010-08-25,1055.33,0.19,15141.61,9.5,217.92,1.21,2.01,26.7,92.59,68.9,22.62,-0.314,6.2,10307.1,8688.2,184.9,17
2010-09-08,1098.87,0.19,15141.61,9.5,218.28,1.23,2.14,23.25,92.85,68.2,22.67,-0.314,6.1,10327.1,8718.9,184.9,18
2010-09-22,1134.28,0.21,15141.61,9.5,218.28,1.32,2.12,22.51,92.85,68.2,22.67,-0.352,6.1,10327.1,8718.9,184.9,19
2010-10-06,1159.97,0.19,15309.47,9.4,219.04,1.45,2.03,21.49,92.6,67.7,22.74,-0.403,5.9,10386.4,8768.7,186.6,20
2010-10-20,1178.17,0.19,15309.47,9.4,219.04,1.48,2.16,19.79,92.6,67.7,22.74,-0.45,5.9,10386.4,8768.7,186.6,21
2010-11-03,1197.96,0.2,15309.47,9.8,219.59,1.51,2.33,19.56,92.67,71.6,22.73,-0.483,5.8,10433.6,8789.3,187.7,22
2010-11-17,1178.59,0.2,15309.47,9.8,219.59,1.53,2.39,21.76,92.67,71.6,22.73,-0.49,5.8,10433.6,8789.3,187.7,23
