date,fortnight,S&P500,Interest Rate,GDP,Unemployment Rate,CPI,Inflation Expectations,Yield Spread,VIX,Industrial Production,Consumer Confidence,Hourly Earnings,NFCI,Savings Rate,PCE,Money Supply,PPI
2009-12-30,0,1126.42,0.11,14651.25,9.9,217.35,2.11,2.72,19.96,88.24,72.5,22.36,-0.186,5.4,10052.6,8512.5,178.1
2009-12-31,0,1115.1,0.05,14651.25,9.9,217.35,2.13,2.71,21.68,88.24,72.5,22.36,-0.186,5.4,10052.6,8512.5,178.1
2010-01-04,0,1132.99,0.12,14764.61,9.8,217.49,2.13,2.76,20.04,89.19,74.4,22.41,-0.212,5.6,10056.1,8478.0,181.9
2010-01-05,0,1136.52,0.12,14764.61,9.8,217.49,2.12,2.76,19.35,89.19,74.4,22.41,-0.212,5.6,10056.1,8478.0,181.9
2010-01-06,0,1137.14,0.12,14764.61,9.8,217.49,2.16,2.84,19.16,89.19,74.4,22.41,-0.212,5.6,10056.1,8478.0,181.9
2010-01-07,0,1141.69,0.1,14764.61,9.8,217.49,2.19,2.82,19.06,89.19,74.4,22.41,-0.212,5.6,10056.1,8478.0,181.9
2010-01-08,0,1144.98,0.11,14764.61,9.8,217.49,2.18,2.87,18.13,89.19,74.4,22.41,-0.233,5.6,10056.1,8478.0,181.9
2010-01-11,0,1146.98,0.11,14764.61,9.8,217.49,2.12,2.9,17.55,89.19,74.4,22.41,-0.233,5.6,10056.1,8478.0,181.9
2010-01-12,0,1136.22,0.11,14764.61,9.8,217.49,2.15,2.82,18.25,89.19,74.4,22.41,-0.233,5.6,10056.1,8478.0,181.9
2010-01-13,1,1145.68,0.11,14764.61,9.8,217.49,2.13,2.83,17.85,89.19,74.4,22.41,-0.233,5.6,10056.1,8478.0,181.9
2010-01-14,1,1148.46,0.11,14764.61,9.8,217.49,2.12,2.82,17.63,89.19,74.4,22.41,-0.233,5.6,10056.1,8478.0,181.9
2010-01-15,1,1136.03,0.12,14764.61,9.8,217.49,2.1,2.81,17.91,89.19,74.4,22.41,-0.24,5.6,10056.1,8478.0,181.9
